65535	2	2	2	2	7.7768	13.1529	11.0454	12.1655	19.0263
2	65535	19	44	69	21.8038	36.2353	26.4008	44.8219	37.6962
2	19	65535	19	44	12	23.1948	21	35	35
2	44	19	65535	19	21.8038	26.4197	32.6497	37.3363	43.0116
2	69	44	19	65535	41.4113	44.4185	54.231	51.6624	61.0328
7.7768	21.8038	12	21.8038	41.4113	65535	0	0	0	0
13.1529	36.2353	23.1948	26.4197	44.4185	0	65535	0	0	0
11.0454	26.4008	21	32.6497	54.231	0	0	65535	0	0
12.1655	44.8219	35	37.3363	51.6624	0	0	0	65535	0
19.0263	37.6962	35	43.0116	61.0328	0	0	0	0	65535
